User_ID,Description,Browser_Used,Device_Used,Positive
id10336,"Steps off Times Square, nice rooms, stayed - nights, great for a short visit.",Internet Explorer,Tablet,1
id10337,"Me, the Wife and - kids stayed here on Valentine's weekend ----. Really a nice hotel in a great location. It is connected to the Rivercenter Mall in downtown San Antonio. It is within walking distance of all Downtown SA attractions, (Alamo, Riverwalk, Ripley's, ETC.) Great Service from the staff from beginning to end. I definitely HIGHLY recommend this hotel and would stay here again if ever in San Antonio for any reason.",IE,Mobile,1
id10338,"We stay at the Jolly Madison over the Xmas period, the main feature is it's location. You are never far from most tourist attractions from this hotel. Grand Central Station is a short walk and gets you to other places you can't get to by walking (cheaper than yellow cabs - although you should also give this a go. We booked a cab with the hotel to take us back to the airport upon our departure and we got a limo - what a way to leave New York! This was certainly better than our inward travel. Got a transfer just outside the airport and spent -- minutes driving between terminals collecting other fares before arriving back at our original terminal and heading off to our hotel.
Our room was on a top floor high which was great as it meant less traffic and street noise. We had some problems with the heater in our room but the reception staff eventually resolved this by providing us with a portable heater.
We did not eat at the hotel at all because diners and deli's are available in close proximity. The best meals we found were in China Town and at Planet Holywood. If you are planning to go to Planet Hollywood negotiate a travel within the main section of the restaurant before being shown to your table otherwise you may end up like us on the top floor overlooking the action and not in it.
We took part in typical tourist activities such as Ripleys and the CSI Experience. Disappointed with both unfortunately. Had hoped to see a broadway play but we left it to late and the only available tickts were $--- each. If you ant to get to the to of the Empire State bilding would suggest going early as the queue by mid-day will take at least an hour. The boat trips around New York are great and the best way to see the Statue of Liberty, The Brooklyn Bridge etc.
Make sure you book the ---- Memorial at reception. Although very emotional it gives you a true understanding of the events which took place and an appreciation for life and the spirit of New Yorkers.
The store window displays, Xmas trees and ice skating rings are just amazing over Xmas. Ice skating on Xmas Eve on Xmas day was definetely a highlight and the Hot Chocolate with marshmallows and whipped cream is wonderful. Do be careful if paying for a padlock for the lockers. I forgot where ours was and soehow managed to gain access to someone elses ;-(
Stumbling across Times Square one evening whilst taking a stroll was enlightening literally. All of a sudden he colour of the sky was bright. There are so many illuminated signs and this area has a real buzz at night time. Didn't care too much for the hoards of people here during the day though.
We did use the hotel bar on our last evening. The bar man was nice and friendly. The bar room was a little odd and resembled a chapel or such like.
We were surprised at just how many people there were and how many shops remained open on Xmas day. This really is the town that does not sleep.
Our only regret was not having longer than - days but there is always next time.",Edge,Mobile,0
id10339,"I highly recommend the Hawthorne Terrace as an affordable, comfortable spot in Chicago. The staff were pleasant, the room clean and spacious, and I really liked the neighborhood location. Tons of bars, restaurants, an improv spot and Wrigley Field are all within walking distance.
While the hotel provides a Continental breakfast, I'd recommend going across the street (at least once) to Anne Sather's. The hotel also offers free wireless Internet access in the rooms. I would definitely stay here again!",Internet Explorer,Desktop,1
id10340,"I found the hotel clean and nicely located. Good, free shuttle to the airport leaves twice per hour. The rooms aren't as nicely appointed as other springhill suited I have stayed at. The walls were thin I could hear a lot from adjacent rooms.",Chrome,Desktop,1
id10341,"Stayed at the Elan from --th to --th October and, as we liked it so much, returned there after our - day trip to Vegas for another - nights. Unassuming in appearance, the hotel scores heavily for its great location, spotlessly clean, classically designed and very comfortable bedrooms, and the friendliness of management and staff. Jorge and his colleagues on the front desk were a revelation with their untiring and enthusiastic help in recommending great restaurants, places to visit etc. And management were particularly helpful in letting us have a complimentary room post-check out to freshen up for our evening flight home after a long day enjoying the Southern Cal sunshine.",Mozilla,Desktop,1
id10342,"Priceline sent us to this hotel after accepting the bid at --- USD a night, tax included. We checked in the night before Thanksgiving with a family of four including my --year and --year old boys. Upon inquiry, the hotel staff gave us a room at the lowest level, the --th floor, facing Time Square. While this is a standard room at this hotel, we had a pleasant surprise the very next morning to watch the entire Macy's Thanksgiving Day Parade from the comfort of our room. The location of this hotel is just impeccable. I highly recommend those who wish to celebrate special events near Time Square to stay there. Maybe we will do it again for the New Year count down.",Mozilla,Tablet,0
id10343,"Old and cheap furnitures,our chair was simply destroyed,old painting on the wall,you feel like you are back in the --'s not ----...Kids running non stop early morning next to our door starting -am...The entire room shake...And for $---.....I don't think so!",Google Chrome,Desktop,0
id10344,"We stayed here for - nights and were really happy with it. It is located about --mins walk from the walk of fame and graumanns chinese theatre and is on most of the tour companie's pick up routes. Our room was nice and big and was very clean. Breakfast was included and it was really nice, the usual toast, cereal, pastries and cooked things. You also get free use of their internet in the business centre, as well as the gym and pool. The reception staff were really helpful in givin us directions etc. There is a minimart, subway and starbucks just across the road which is convenient. Also just off the walk of fame is a shopping mall with shops like Gap, Superdry, etc. There are also a few restaurants there as well. For anyone who likes pizzas I would recommend visiting the California Pizza Kitchen at the mall - pizzas are lush there and are rasonably priced. We got a shared bus to the hotel through Super Shuttle. It cost approx $-- return and pick ups occur every ----- mins from airport. Be warned of the way they drive tho, it was a slightly frightening experience after -- hours on a plane! 
We didnt have a car there so did all organised tours, one through VIP tours and one through Starline Tours. The VIP tour was a tour of LA including Hollywood, Venice Beach, Downtown LA and Beverly HIlls. This lasted approx --- day and was really worth the money. We then did an escorted trip to Universal with Starline which was well organised and Universal is worth visiting!! We also went to Madame Tussauds on the walk of fame which had some good and bad statues!!
Overall though the Holiday Inn Walk of Fame is worth staying at, its clean, convenient and has some nice free extras thrown in!!",Google Chrome,Mobile,1
id10345,"The service was fine, but the hotel itself fell way below my expectations from such a respectable establishment as Hilton. They were nickel-and-diming me all the way. 
-. The carpet in the corridor is not very clean and it smelled weird there. The pool area was no better - actually, much worse. I wouldn't recommend going barefoot anywhere in that area. It's just dirty.
-. The coffee maker in the room was broken - it made --- cup of coffee and then turned off. So if you want a full cup, you have to ask it - times. Of course, by then the cup is almost all cold. Good luck making tea with it, if you don't like ice tea.
-. Once we have used the provided tea packs, room service didn't bother to replace them. Probably saved them a cent or so.
-. There's no free internet access in the business center and no free printing. I am staying in various hotels a lot and wasn't used before to being charged dollar-a-minute for printing a simple page of driving directions. I was used to getting it for free, as it was in most hotels of this class I visited. Hilton, however, decided to save yet another ---- of a cent.
-. Most hotels provide some sort of paper for the guests to write on. Hilton has post-it notes. Literally - tiny squares of paper, and that's it. If you want to write down something that's not - words - good luck, Hilton is not going to help, go find an Office Depot and buy it yourself. Here, another cent saved for Hilton. 
-. Parking pricing is outrageous - I've parked cheaper in San-Francisco downtown, no discounts or anything for hotel guests - but don't expect that to mean easy and convenient parking. Parking lot is crammed, and spending -- minutes looking for a random place somebody didn't notice, or trying to fit your car into the space that nobody dared to use because it's too small - is routine. All while a bunch of spaces stay empty - but general public is not allowed there, probably so that they can charge you ---% for valet parking in the same spot, in addition to the outrageous price paid for the parking - which a lot of hotels of this class provide for free. In Hilton, I not only got charged for it - I got charged twice in one of the days. They can't even make their system work properly.
Summarily, the personnel of the hotel was very nice, welcoming and pleasant. They did what they could. However, the hotel itself fell below the expectations - I paid more than I expected to pay for less than I expected to get from Hilton. I understand the economy is tough and everybody has to save, but saving on a couple of sheets of paper and a couple of tea bags is too much for me. When I go to a brand-name hotel like Hilton I don't expect that. After this stay I would think twice - no, a dozen times - before ever staying at a Hilton establishment again. Hope the savings were worth it.",Mozilla,Desktop,0
id10346,"Having stayed at many Hilton properties, I expect a friendly efficient service from what is considered a good brand.
This property was a let down. Initially, things went smoothly. Check-in was fine, as a HHonors Gold member I was informed with an apology that they did not have an Executive Floor to upgrade me to, but put me in a - bedroom suite and offered me a complimentary buffet breakfast and the usual wifi vouchers. This is where the good things ended.
The room had issues. Initially, the phone in the living room did not work. They sent someone up to fix the phone, and then some --- hours later it just started randomly producing high pitched beeps (which in turn woke me up). In addition, the guest compendium was empty (as in someone had removed the pages). It took - phone calls and - people to come up to my room to actually understand what I was requesting, and deliver a full compendium.
I also had cause to contact and visit the front desk at various stages later in the evening during my stay. To say the night staff were next to useless would be an over-statement. The night manager basically said nothing to my requests, or as little as possible. They treated me like I was putting them out of their way and disrupting them being lazy. One particular staff member was so bad I wrote a separate complaint to Hilton about them.
I also witnessed a lady in obvious distress attempting to get a room late one evening. When they informed her she was not able to get a room without photo ID she became upset and aggravated. She ranted a little bit about 'if I get murdered tonight, it'll be on your conscious' to which the night manager replied """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""That's ok Ma'am, I have no conscious"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""". 
I've never seen such rude staff. Would I stay there again? Definitely not by choice.",Firefox,Mobile,0
id10347,"This is everything you could want from a hotel - convenient location a short walk from everything in uptown Charlotte, well-equipped room (fridge and microwave as well as the usual coffee maker), and efficient staff. When we first checked in and went to our room, our room card would not work. In less than -- minutes, a repairman arrived at our room to let us in and dismantle and reprogram the door lock. There is also free wi-fi in the room - an all too rare feature in hotels.
My only issue was trying to do online check-in for our flight from our room and not being able to follow the instructions for printing our boarding passes. The printer is in the business centre, and while the instructions say that you can send you document there to be printed from your room, it would have been easier to just go to the business centre and use the computer there to check-in and print.",Firefox,Desktop,1
id10348,"I very much wanted to stay at a boutique hotel near Times Square in lieu of a Hilton or Marriott type. After some research, hubby and I compromised on The Paramount after seeing the price of their modern chic rooms on the website. When we checked in we were both excited about the impressive lobby. Very us. BUT we were royally disappointed when we entered our King Deluxe room. Womp womp womp...
I'm normally a very flexible-laid back, go with the flow gal but this just wasn't what I was expecting at all.
The pictures seemed to be photo shopped bright and welcoming on the website. In reality, the room was entirely too small and the bathroom lacked a lot of luster. The room just seemed so dark and small. Just NOT what we had in mind for our - night NYC experience. The money spent renovating this hotel was obviously poured into the more public areas of the hotel. The closet would better be described as a compartment to store ~- jackets so our suitcases took up the little floor space we had.
We headed downstairs and explained our concerns and requested upgrade options. I inquired about their Entertainment and Couture suites displayed on their website as they are the only ones displayed. Do you know what they told me?! The available suites displayed on their website are only used for corporate events and fashion shoots. I was dumbfounded. I encouraged them to provide keys to the suite that they DO have available for purchase so that I can see it before we accept the upgrade for an additional $--- for our - nights in NYC. We saw it and it was another womp womp womp. They had simply take a wall and corned off - rooms at the end of the hallway. Even the rooms still had the heavy secure hotel door separating the bedroom from the living room AND the exit sign still existed in the cornered off wasted space in the entrance of the suite. The bedroom in the suite had a double bed. My husband and I are very tall and we by no means intend to share a double bed while paying for a suite. Desperately trying to see the positive, I looked out the window to see if our view had been upgraded. View from Times Square? It had been a bit but a partial view of lights from Times Square and the back of a billboard just wasn't worth it to me. Womp womp womp.
We headed back downstairs, handed them the suite key and stated that we will only be spending - night at The Paramount and would be checking out the following day. (Obviously, it was too late to cancel our room that night and not pay a fee, etc.) The customer service was very kind so I hadn’t the heart to share my disappointment. I'm sure it was obvious by our actions at that point.
I've attached a picture of my hubby stretching out his hands so that you get an idea of just how small the King Deluxe room is. Note our luggage covering the entire opposite side of the bed. No point in showing you the view out the window, it was the back of a building.
If you care to know:
NYC was insanely booked everywhere last week. We did manage to secure - nights at The Bowery (LOVED it, ---% guarantee that we will return) and the - other nights of our trip were spent at the Marriott on Times Square with an incredible view of Times Square.",Edge,Tablet,0
id10349,"I really liked this hotel. The staff were wonderful and quite helpful in providing advice about visiting Old Town and things to do in San Diego. In the lobby-reception area, there was a table set up with ice water, coffee, etc., which was very convenient and appreciated. There is a little sitting area off of the check-in area with brochures galore, so you can sit & relax, drink coffee & look at brochures. Adjacent to this is the place where they serve breakfast. They really do serve a nice breakfast, waffles, etc. The hotel rooms are nice. Nothing fancy, but pretty spacious, clean and comfortable. Overall for the money, I thought I did pretty well in booking this hotel. Good value for the money.",Chrome,Desktop,1
id10350,"My wife and spent - days there this month as a New York getaway vacation Christmas present to each other. Our stay overall was terrific. The quality, size, quietness, and location of the room was supurb. Every staff member was friendly and willing to help. Complimentary wine reception every evening was a definite plus. We felt comfortable from the moment we arrived and were reluctant to leave. The Muse is a calm oasis in the bustle of New York City. As a Kimpton InTouch member we were upgraded automatically to a superior king room. It was large well appointed and quiet with a view down --th street. The bed was extremely comfortable. They just began a complete renovation of the lobby so there may be some inconvenience until it is completed. Our only bad experience was the District Restaurant. We ate there Sunday for breakfast. Service was mediocre, the bacon and eggs were both overcooked and it was tremendously over priced. Such a fine hotel should not have such a bad restaurant. Other than that I would recommend this hotel very highly.",Chrome,Desktop,1
id10351,"We stayed at this hotel for two nights over the busy Labor Day weekend. 
We arrived at about -:--am after flying in on a red eye. Our room wasn't ready but we were told that since the housekeeping staff began at -:--am, and that the guests previously in our room had already checked out, that our room would be ready for us by --:--am. We went to breakfast and returned at --:-- and were told that our room was still not ready. We waited another ninety minutes and checked back with the front desk and were told that they would put a rush on our room with housekeeping, that they were in the process of cleaning it, and to come back in a half an hour. We did, and the room still wasn't ready. By that time we were both exhausted and perhaps the front desk person took pity on us and upgraded us to a junior suite. 
The room was quite large especially for New York hotel rooms. We had views of the street from two sides, which we enjoyed, but it was noisy. It didn't bother us, but I think it would wake up a light sleeper. The bed was comfortable and the reading lights had dimmers. The desk was large and had a power strip.
We chose this hotel over the other InterContinental in New York City because of the price, location, and previous reviewer's glowing comments. There were a few little details that just didn't compare with previous experience we've had with this hotel brand.
The furniture looked a bit shabby with scuff marks on the table and tired looking furniture, chipped paint. The bathroom had a light fixture hanging loosely from the ceiling. There was some mold on the ceiling in the shower area. There were a couple of times that I had to wait over five minutes for hot water in the bathroom and the bathroom sink had a constant drip. One of our towels had a large hole in it. I know it sounds like nit-picking, but I've become accustomed to a certain level of expectations when staying at an InterContinental hotel, and for the reasons above, the Barclay didn't meet those expectations, in my opinion.",Opera,Mobile,0
id10352,"Took a girls trip to LA and had no idea where to stay. After research we settled on Elan. I'm so glad we did. Very nice, clean, handy hotel. There is no restaurant but that was fine by us. They had a continental breakfast in the am and wine and cheese in the evenings. We went out to dinner anyway. That's kinda the point of visiting LA---eat! The hotel staff was wonderful, particularly Michael O and Michael K. Both were soooo helpful from making the reservation to suggestions on where to go, shop, eat....They always made sure we had a cab when we needed it and made excellent suggestions. I would absolutely stay there again.",InternetExplorer,Mobile,1
id10353,"Stayed with my girlfriend for a long weekend. 
They gave us a nice comp upgrade at check-in...thanks! Hotel is beautiful, service is good. 
For a five-star, it fell short in a couple of areas...
There was a large, very gross looking yellow stain on the comforter. We had to ask that they bring a new one. Not a pleasant sight.
Also, a couple of guys on the bell staff were blatantly ogling my girlfriend as we were walking to the elevator...very tacky. Granted, she's very attractive but you would think the staff would have a little more class than that.
All in all, great place and we would highly recommend.",Mozilla Firefox,Desktop,1
id10354,I have stayed here numerous times and never been disappointed. The staff is helpful but not overbearing. The location is fantastic. The price is right. It is clean and the business center is in a living room!,Mozilla,Mobile,1
id10355,"The public areas are nice to look at. The staff at reception were helpful and check-in was met with a warm greeting. The staff in other areas were mostly courteous and professional but the bar staff was wooden and unhelpful. The room itself was a decent size but not big. Furnishing were comfortable enough. The internet was unbelievably slow and had to call the hotel's IT department - times to troubleshoot problems. Not acceptable as they charge $-- a day for internet service. If you use the valet service, expect to wait upwards of -- minutes whenever you want your car. Returning in the evening after dinner, waited about -- minutes to be acknowledged by a member of the valet team. The staff seemed to smile alot but lacked any substantive abilities when dealing with any issues. Had a minor problem with my booking that took far longer than necessary to resolve as the staff were dense and difficult to talk to, as though it were their first day on the job. This hotel seems a magnet for conferences but I couldn't recommend this place for business or leisure purposes. There are much better choices for the money they charge.",Firefox,Tablet,0
id10356,"Denver is an excellent city to visit and this hotel makes that visit all the better. Although Hampton Inn is on the lower end of the Hilton family, this particular hotel out does many higher ranked chains by providing a well managed facility with great touches like free wireless, free hot and cold breakfast and a young but highly trained staff. 
The only con about the hotel is the parking. It is costly to park any where in downtown denver but this is true for any metropolitan area. The proximity of this hotel to interesting locations nearby for fun and dining makes it worth the extra cash to have a place to park. 
Highly recommended.",Mozilla,Tablet,0
id10357,"I really liked this hotel alot. 
Staff was extemely friendly and helpful. Rooms and common areas were very modern and looked very well maintained. If you chose to eat in, there was a nice little kitchenette. Great internet service. 
Short walk to the riverwalk. 
If I had one thing to complain about, the breakfast selection was a little light, well at least for my taste. 
Given that, I would definitely consider Home - suites if I were to visit this area again. (And I hope too)",Mozilla Firefox,Tablet,1
id10358,"We could easily have stayed here for longer on our trip through California. It's a delightful Inn that is totally unique in its surroundings. It stands out on the block as no ther buildings look the same as this one.
All of the rooms are traditionally decorated, elegant and rich . We had the Garden Room with large comfortable bed dressed with antique bedding. This room has a Victorian tiled ensuite shower room which looked lovely and functioned perfectly
We enjoyed the breakfast of homebaked scone and a choice of cooked bacon and eggs. 
You'll love this place if you appreciate period details and individual flavour. If you want all mod cons like a coke machine, coffee makers and trad American breakfasts then it isn't for you. 
We walked to Bilboa Park and the zoo but didn't explore enough in the evening to find a restaurant to recommend - it seems a quiet neighbourhood. We made it to wine tasting though and enjoyed chatting to the hostess and other travellers",Google Chrome,Mobile,1
id10359,"I booked three nights at the Inn at El Gaucho based on the reviews from tripadvisor.com. When my boyfriend and I arrived after a - hour flight from NY, we were happy that the Inn is located only -- minutes from the airport by taxi. The hotel is located on the second floor of a steakhouse, with no elevator and no bellhop, so we had to carry our bags up a flight and a half of stairs. (I knew about this from the reviews, but after a long flight I had forgotten!) The woman at the front desk was very helpful, even leaving to personally check if the room was ready because we had arrived early for check-in. It was, and she gave us a large cold bottle of Evian, a goodie bag with large cookies and a CD, and a short tour of our room and its amenities. We were also given - room keys, which is helpful. 
The room was a suite (they are all suites) facing -st Avenue. The bed looked like one large pillow and it was amazingly soft and comfortable. We had to force ourselves, after testing it, to get up and do some exploring around town. The room had a --"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" TV which came in handy because we were there to see the Seahawks VS. Giants that Sunday at Quest Field Stadium, so we were able to keep track of the teams and highlights on a picture-perfect TV. The bathroom had a stall shower and was pretty basic - hairdryer, lots of towels, and complimentary toileties. The room closet had a dresser, iron and board, and - ultra-soft bathrobes. There was also a seperate coffee-office closet which was pretty convenient, yet out of the way. And the leather sofa and chair were nice, as well. The most useful thing in the room was the pile of Seattle guides on the sofa table. We used that to find all the restaurants for our entire stay. 
The Inn is located only a half mile from Seattle Center (with Space Needle) and less than a mile striaight down -st to Pike Market. It's only a little further to Pioneer Square and Quest Field Stadium. And it's only - blocks away from the Seattle Port. First Avenue has an abundance of restaurants and shops so you won't have to worry about taking a taxi to dinner. (There's even a big umbrella for you in the room closet, just in case you have to take a short walk in the rain!) 
Overall, we were so happy with our choice that when we go back to Seattle for whatever reason, we will be staying there. The location, the comfort, the moderate price ($--- a night in Seattle is hard to beat) and the friendliness of the female employees made it a perfect stay!",Firefox,Desktop,1
id10360,"Looking for a tranquil retreat in Denver that is close to great restaurants, shopping, the Botanic Gardens, the Art Museum in theCherry Creek neighborhood? This is the place!
We had read about slow parking valet times, but our waits for the retrieval of our car averaged two minutes! I suppose if you wanted your car during intervals of high turnover (check-in and check-out), it might takelonger. I suggest you ask the valet staff if you are concerned.
Back to the hotel room,we specified a room with mountain views and got a nice one. Large large bathroom with separate tub and bath appointed with marble floors and granite countertops. rooms facing west in the summer, you might want to leave your AC a little lower before you leave for dinner. Linens comfortable and pretty. The wallpaper was bold and dramatics...nice touch!
Hope to return soon for another relaxing stay...eat and drink at North restaurant...-- steps from the front door of JW Marriott. You will not be disappointed!",Mozilla,Desktop,1
id10361,"Booked - rooms, at check-in they upgraded all of us--- rooms to suites. The front desk staff AJ, was wonderful, made us feel great. Didn't use the pool, so I can't write about it. Right across the road from Texas Roadhouse. The breakfast had scrambled eggs, biscuits & gravy, waffles. Will stay there again.",Firefox,Tablet,1
id10362,"I stayed here last Thursday - Sunday. I attended a business workshop on Friday, and my hubby and I stayed through the weekend for leisure. Check-in was smooth and fast, and the staff were courteous and knowledgeable. The lobby is nicely decorated in a contemporary style, but the building sure shows its age once one heads up to the guestroom floors. The woodwork outside our room was so battered looked as if someone had been hacking at it with an ax. 
On the positive side, I liked the overal design of the room, and the bedding was of nice quality. But there were some serious flaws. The bathroom cabinet was cracked so severely that some of the wood veneer had copletely fallen off. And, although I asked for a nonsmoking room, the place smelled strongly of smoke. We are not smokers and didn't spend any time with smokers during our trip, but our clothes absorbed the smell from the room. When we got home and unzipped our suitcases, the smell of smoke was extremely strong. I had to dryclean the brand new overcoat that I had just purchased that very weekend at Saks.
Other positives about this hotel are the location. It was very convienient to Magnificent Mile shopping and attractions. The cafe attached served great coffee, and I never waited more than a couple of minutes for my order. And, again, the staff were helpful and pleasant. 
Overall, the room was a good value, but the the stay would have been much more pleasant if this hotel made some basic maintenance efforts.",InternetExplorer,Desktop,0
id10363,"I'm not a fan of hotels so hate business travel but this hotel was a real pleasure. Fantastic pop-art style, enthusiastic staff, modest rooms with elegant 'pop' furnishings (I hate overstuffed rooms). Great location, though a little bit of a walk to nearest Metro station.",Chrome,Tablet,1
